game_id,player_id,team_id,timeOnIce,goals,assists,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce,gameNumber
2005020855,8471214,15,1411,1,0,8,NA,0,0,6,0,1,NA,NA,1,0,NA,0,846,251,314,55
2005020866,8471214,15,1150,1,0,6,NA,1,0,0,0,0,NA,NA,0,0,NA,0,649,16,485,56
2005020882,8471214,15,1234,1,0,5,NA,0,0,0,0,0,NA,NA,1,0,NA,-1,940,33,261,57
2005020897,8471214,15,1317,1,1,7,NA,1,1,2,0,0,NA,NA,0,0,NA,0,771,11,535,58
2005020911,8471214,15,1007,2,1,7,NA,0,1,0,0,0,NA,NA,0,0,NA,1,701,0,306,59
2005020926,8471214,15,1330,1,2,10,NA,1,1,0,0,0,NA,NA,0,0,NA,1,498,5,827,60
2005020938,8471214,15,1407,0,0,1,NA,0,0,0,0,1,NA,NA,0,0,NA,-2,1009,0,398,61
2005020953,8471214,15,1467,0,0,1,NA,0,0,2,0,1,NA,NA,0,0,NA,2,1048,41,378,62
2005020967,8471214,15,1240,1,2,3,NA,1,1,0,0,0,NA,NA,0,0,NA,0,801,31,408,63
2005020980,8471214,15,1483,0,0,5,NA,0,0,0,0,0,NA,NA,0,0,NA,0,966,0,517,64
2005020997,8471214,15,1350,0,2,8,NA,0,0,0,0,0,NA,NA,0,0,NA,1,894,2,454,65
2005021011,8471214,15,1166,1,0,4,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,777,16,373,66
2005021029,8471214,15,1664,0,1,3,NA,0,0,0,0,1,NA,NA,0,0,NA,1,1104,57,503,67
2005021034,8471214,15,1550,2,1,13,NA,0,1,0,0,0,NA,NA,0,0,NA,2,1038,0,512,68
2005021050,8471214,15,1345,1,1,4,NA,0,1,0,0,0,NA,NA,0,0,NA,1,839,0,506,69
2005021077,8471214,15,1132,1,0,8,NA,1,0,0,0,0,NA,NA,0,0,NA,0,887,38,207,70
2005021083,8471214,15,1457,0,2,5,NA,0,1,2,0,0,NA,NA,0,0,NA,-1,922,20,515,71
2005021099,8471214,15,1432,0,1,6,NA,0,1,0,0,0,NA,NA,0,0,NA,0,1221,11,200,72
2005021111,8471214,15,1681,0,1,4,NA,0,1,0,0,0,NA,NA,0,0,NA,-1,1031,126,524,73
2005021126,8471214,15,1742,0,2,5,NA,0,1,2,0,0,NA,NA,0,0,NA,0,1167,0,575,74
2005021141,8471214,15,1461,0,1,12,NA,0,1,0,0,0,NA,NA,0,0,NA,-1,836,126,499,75
2005021152,8471214,15,1179,0,0,3,NA,0,0,2,0,0,NA,NA,0,0,NA,-1,880,105,194,76
2005021165,8471214,15,1400,1,0,4,NA,0,0,0,0,0,NA,NA,0,0,NA,1,1026,0,374,77
2005021185,8471214,15,1422,1,1,3,NA,0,1,0,0,1,NA,NA,0,0,NA,0,900,0,522,78
2005021207,8471214,15,1550,1,0,5,NA,0,0,0,0,0,NA,NA,0,0,NA,1,1189,4,357,79
2005021215,8471214,15,1209,1,1,6,NA,0,1,0,0,0,NA,NA,0,0,NA,-1,746,3,460,80
2005021228,8471214,15,1051,0,1,4,NA,0,1,0,0,0,NA,NA,0,0,NA,0,738,58,255,81
2006020005,8471214,15,1441,0,0,3,NA,0,0,2,0,0,NA,NA,0,0,NA,-4,968,0,473,82
2006020022,8471214,15,1301,2,0,15,NA,1,0,0,0,0,NA,NA,0,0,NA,2,824,6,471,83
2006020051,8471214,15,1247,0,1,6,NA,0,0,0,0,0,NA,NA,0,0,NA,1,852,10,385,84
2006020063,8471214,15,1254,0,1,6,NA,0,0,0,0,0,NA,NA,0,0,NA,0,833,0,421,85
2006020085,8471214,15,1176,0,0,4,NA,0,0,0,0,0,NA,NA,0,0,NA,1,823,7,346,86
2006020092,8471214,15,1481,1,1,7,NA,0,0,0,0,0,NA,NA,0,0,NA,2,1145,5,331,87
2006020110,8471214,15,1361,1,0,5,NA,1,0,0,0,0,NA,NA,0,0,NA,-2,1136,19,206,88
2006020133,8471214,15,1033,1,0,4,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,785,0,248,89
2006020146,8471214,15,1397,1,1,2,NA,0,1,2,0,0,NA,NA,0,0,NA,0,1021,12,364,90
2006020155,8471214,15,1283,0,0,4,NA,0,0,0,0,0,NA,NA,0,0,NA,-2,1070,14,199,91
2006020165,8471214,15,1272,0,2,9,NA,0,1,0,0,0,NA,NA,0,0,NA,1,974,1,297,92
2006020188,8471214,15,1480,0,2,4,NA,0,1,0,0,0,NA,NA,0,0,NA,-1,1024,0,456,93
2006020197,8471214,15,1109,2,0,2,NA,0,0,0,0,0,NA,NA,0,0,NA,2,676,0,433,94
2006020205,8471214,15,1308,2,0,8,NA,1,0,0,0,0,NA,NA,0,0,NA,0,1036,0,272,95
2006020222,8471214,15,1067,0,0,4,NA,0,0,0,0,0,NA,NA,0,0,NA,0,770,0,297,96
2006020238,8471214,15,1178,1,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,1,673,0,505,97
2006020252,8471214,15,1180,1,1,5,NA,0,1,0,0,0,NA,NA,0,0,NA,1,902,0,278,98
2006020260,8471214,15,1494,0,1,6,NA,0,1,2,0,1,NA,NA,0,0,NA,-1,936,0,558,99
2006020273,8471214,15,1128,0,0,3,NA,0,0,0,0,0,NA,NA,0,0,NA,-1,739,0,389,100
2006020283,8471214,15,1492,1,0,6,NA,1,0,2,0,0,NA,NA,0,0,NA,0,1062,31,399,101
2006020310,8471214,15,1211,0,0,6,NA,0,0,2,0,0,NA,NA,0,0,NA,-2,1071,29,111,102
2006020327,8471214,15,1046,1,0,5,NA,1,0,0,0,0,NA,NA,0,0,NA,-2,713,0,333,103
2006020336,8471214,15,1523,1,0,7,NA,1,0,0,0,0,NA,NA,0,0,NA,-1,1028,16,479,104
